nom,parent,value,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Baker & Taylor,,1,Distributor,,B2B,,Private,,#105F70
Beat Technology,,1,Tech,,B2B,,Private,,#FFEFD1
Beek,,1,Retailer,,DTC,,Private,,#EFB4A9
Behear,,1,Retailer,,DTC,,Private,,#E78C7B
Bertelsmann,,1,Parent,,,,Private,,
Bertelsmann and Holtzbrinck Publishing Group,,1,Parent,,,,Private,,#3B124C
Bidi,,1,Retailer,,DTC,,Private,,#E58371
Blackstone Publishing,,1,Parent,,,,Private,,#371146
Block,,1,Parent,,,,Private,,#320F40
Bog&ide,,1,Retailer,,DTC,,Private,,#E37B68
Bokusgruppen AB,,1,Parent,,,,Public,,#2E0E3B
Bolinda,,1,Parent,,,,Private,,#290D35
Bonnier AB,,1,Parent,,,,Private,,#240B2F
Book Lender,,1,Parent,Retailer,,,Private,,#200A29
Book.io,,1,Retailer,,DTC,,Private,,#E1735E
Bowker,,1,Retailer,,DTC,,Private,,#E06B55
Brodart Audio,,1,Retailer,,DTC,,Private,,#DE624B
Calm Radio,,1,Retailer,,DTC,,Private,,#D1563F
Campsoft,,1,Parent,,,,Private,,
Chicago Review Press,,1,Parent,Retailer,,,Private,,#1B0823
"China National Publications Import and Export (Group) Co., Ltd (CNEP)",,1,Parent,,,,State-Owned,,#D7C7DD
Christian Audio Distribution,,1,Distributor,,B2B,,Private,,#0F5968
CLIQ Digital,,1,Retailer,,DTC,,Private,€243m,#C6513B
CloudAloud,,1,Retailer,,DTC,,Private,,#BB4D38
CombiTel Group,,1,Parent,,,,Private,,
Comcast Xfinity,,1,Parent,,,,Public,,#B498C0
Costco,,1,Retailer,,DTC,,Public,,#B04835
Cross Current Digital,,1,Retailer,,DTC,B2B,Private,,#A54432
De Marque,,1,Parent,,,,Private,,#8C609E
Demarque,,1,Parent,,,,Private,,
Deutsche National Bibliothek,,1,Retailer,,Institutional,,Private,,#9A3F2E
DFMI,,1,,,,,Private,,#FFEFD1
digiDirect,,1,Parent,,,,Private,,#845598
Digital Public Library of America,,1,Retailer,,Institutional,,Private,,#8F3B2B
Digitalbook,,1,Parent,,,,Private,,#7C4991
DME Media,,1,Parent,,,,Private,,#743E8A
Dragonfly FM,,1,Retailer,,DTC,,Private,,#843628
eBiblio,,1,Library System,,DTC,,Private,,
EBSCO Industries,,1,Parent,,,,Private,,#6B3383
eChristian,,1,Retailer,,DTC,,Private,,
EKZ Bibliotheksservice GmbH,,1,Parent,,,,Private,,#63277C
Elliott Advisors,,1,Parent,,,,Private,,#561B6F
Empik,,1,Retailer,,DTC,,Private,,#6E2D21
Epic Audio Video,,1,Retailer,,DTC,,Private,,#63281E
Feiyr,,1,Distributor,,B2B,,Private,,#0E5361
Feltrinelli Group,,1,Parent,,,,Private,,#521969
Fictionwide,,1,Distributor,,B2B,,Private,,#0D4C59
Follett Corporation,,1,Parent,,,,Private,,#4D1863
Fonos,,1,Retailer,,DTC,,Private,,#58241A
Fountain,,1,Retailer,,DTC,,Private,,#4D1F17
Fundamentum,,1,Parent,,,,Private,,#49165E
Gandhi,,1,Retailer,,DTC,,Private,,#421B14
GEMA,,1,Parent,,,,Private,,#441558
Glassboxx,,1,Retailer,,B2B,DTC,Private,,#F7D7D1
Glose,,1,Retailer,,B2B,DTC,Private,,#EFB4A9
Go1,,1,Parent,,,,Private,,#401452
GrupoVida,,1,Retailer,,DTC,,Private,,
H.I.G. Capital and Francisco Partners,,1,Parent,,,,Private,,
Hertzberg-New Method Inc.,,1,Parent,,,,Private,,
hibooks,,1,Retailer,,DTC,,Private,,#E78C7B
Horizons Unlimited srl,,1,Parent,,,,Private,,#3B124C
Hummingbird Digital Media,,1,Distributor,,B2B,,Private,,#08333C
IG Publishing,,1,Retailer,,DTC,,Private,,
IGN Entertainment,,1,Parent,,,,Private,,#371146
Il Narratore Audiolibri,,1,Retailer,,DTC,,Private,,#E58371
Indigo Books and Music,,1,Retailer,Parent,DTC,,Private,,#E37B68
Infinite Reality,,1,Parent,,,,Private,,
Ingram Industries,,1,Parent,,,,Private,,#320F40
Instaread,,1,Retailer,,DTC,,Private,,
Instituto Cervantes,,1,Library System,,DTC,,Private,,#FFDC98
John Marshall Media,,1,Parent,,,,Private,,#2E0E3B
JP Morgan Chase,,1,Parent,,,,Public,,#290D35
JP/Politikens Hus,,1,Parent,,,,Private,,#240B2F
Kakao Entertainment,,1,Parent,,,,Private,,#200A29
Kids Radio,,1,Retailer,,DTC,,Private,,#E1735E
KKR,,1,Parent,,,,Private,,#1B0823
Lagardère Group,,1,Parent,,,,Public,,
"Lazy Joy Digital Technology Company, Ltd.",,1,Parent,,,,Private,,#D7C7DD
Leamos,,1,Retailer,,DTC,,Private,,#E06B55
Learn Out Loud,,1,Retailer,,DTC,,Private,,#DE624B
Legible,,1,Retailer,,DTC,,Private,,#D1563F
Library and Archives Canada,,1,Library System,,DTC,,Private,,#FECC6A
Librería Porrúa,,1,Retailer,,DTC,,Private,,#C6513B
Librivox,,1,Retailer,,DTC,,Private,,#BB4D38
Libro.fm,,1,Retailer,,DTC,,Private,,#B04835
ListenerU,,1,Retailer,,DTC,,Private,,#A54432
Litres Operations Limited,,1,Parent,,,,Private,,#B498C0
Loyal Books,,1,Retailer,,DTC,,Private,,#9A3F2E
Lyrasis,,1,Parent,,,,Nonprofit,,#8C609E
