nom,parent,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
3 Leaf Group,,Retailer,,Institutional,,Private,,#6E2D21
Access Industries,,Parent,,,,Private,,#6B3383
Advent International,,Parent,,,,Private,,#63277C
Ahold Delhaize,,Parent,,,,Public,,#561B6F
Alexander,,Retailer,,DTC,,Private,,#63281E
Alliance Entertainment Holding Corp,,Parent,,,,Private,,#521969
Alphabet,,Parent,,,,Public,,#4D1863
Amazon,,Parent,,,,Private,,#49165E
"American Public Education, Inc.",,Parent,,,,Public,,#441558
Anyplay,,Retailer,,DTC,,Private,,#58241A
Apple,,Parent,,,,Public,,#401452
Arabookverse,,Publisher,Distributor,,,Private,,#4FA492
Audiobooks NZ,,Retailer,,DTC,,Private,,#4D1F17
Audiobrary,,Retailer,,DTC,,Private,,#421B14
Authors A.I,,Parent,,,,Private,,#561B6F
Bajalibros,,Retailer,,DTC,,Private,,#F7D7D1
Baker & Taylor,,Distributor,,B2B,,Private,,#105F70
Beat Technology,,Tech,,B2B,,Private,,#FFEFD1
Beek,,Retailer,,DTC,,Private,,#EFB4A9
Behear,,Retailer,,DTC,,Private,,#E78C7B
Bertelsmann,,Parent,,,,Private,,
Bertelsmann and Holtzbrinck Publishing Group,,Parent,,,,Private,,#3B124C
Bidi,,Retailer,,DTC,,Private,,#E58371
Blackstone Publishing,,Parent,,,,Private,,#371146
Block,,Parent,,,,Private,,#320F40
Bog&ide,,Retailer,,DTC,,Private,,#E37B68
Bokusgruppen AB,,Parent,,,,Public,,#2E0E3B
Bolinda,,Parent,,,,Private,,#290D35
Bonnier AB,,Parent,,,,Private,,#240B2F
Book Lender,,Parent,Retailer,,,Private,,#200A29
Book.io,,Retailer,,DTC,,Private,,#E1735E
Bowker,,Retailer,,DTC,,Private,,#E06B55
Brodart Audio,,Retailer,,DTC,,Private,,#DE624B
Calm Radio,,Retailer,,DTC,,Private,,#D1563F
Campsoft,,Parent,,,,Private,,
Chicago Review Press,,Parent,Retailer,,,Private,,#1B0823
"China National Publications Import and Export (Group) Co., Ltd (CNEP)",,Parent,,,,State-Owned,,#D7C7DD
